frame_index,stage,duration_ms
63,detection,26.96
63,landmarks,109.34
63,visualization,94.56
64,frame_acquisition,33.07
64,detection,29.99
64,landmarks,121.97
64,visualization,103.23
65,frame_acquisition,33.09
65,detection,24.29
65,landmarks,124.59
65,visualization,99.16
66,frame_acquisition,33.32
66,detection,23.75
66,landmarks,119.05
66,visualization,98.27
67,frame_acquisition,33.14
67,detection,24.01
67,landmarks,149.08
67,visualization,122.29
68,frame_acquisition,33.33
68,detection,24.09
68,landmarks,164.08
68,visualization,109.49
69,frame_acquisition,33.11
69,detection,30.91
69,landmarks,163.07
69,visualization,96.18
70,frame_acquisition,33.15
70,detection,28.25
70,landmarks,129.41
70,visualization,110.97
71,frame_acquisition,33.31
71,detection,25.63
71,landmarks,112.60
71,visualization,97.37
72,frame_acquisition,33.46
72,detection,24.50
72,landmarks,113.35
72,visualization,110.13
73,frame_acquisition,33.24
73,detection,24.09
73,landmarks,123.50
73,visualization,101.24
74,frame_acquisition,33.10
74,detection,24.82
74,landmarks,123.85
74,visualization,98.89
75,frame_acquisition,33.30
75,detection,24.28
75,landmarks,138.05
75,visualization,127.20
76,frame_acquisition,33.27
76,detection,24.99
76,landmarks,129.45
76,visualization,99.77
77,frame_acquisition,33.43
77,detection,27.51
77,landmarks,113.77
77,visualization,105.77
78,frame_acquisition,33.10
78,detection,28.92
78,landmarks,134.53
78,visualization,101.53
79,frame_acquisition,33.44
79,detection,26.45
79,landmarks,126.04
79,visualization,116.73
80,frame_acquisition,33.10
80,detection,27.36
80,landmarks,117.33
80,visualization,110.72
81,frame_acquisition,33.12
81,detection,25.66
81,landmarks,138.75
81,visualization,110.02
82,frame_acquisition,33.14
82,detection,27.01
82,landmarks,131.81
82,visualization,110.93
83,frame_acquisition,33.11
83,detection,28.80
83,landmarks,129.24
83,visualization,108.44
84,frame_acquisition,33.14
84,detection,28.84
84,landmarks,139.18
84,visualization,105.06
85,frame_acquisition,33.10
85,detection,27.84
85,landmarks,132.19
85,visualization,104.58
86,frame_acquisition,33.11
86,detection,27.93
86,landmarks,146.17
86,visualization,101.37
87,frame_acquisition,33.11
87,detection,37.39
87,landmarks,132.82
87,visualization,103.91
88,frame_acquisition,33.16
88,detection,21.15
88,landmarks,119.22
88,visualization,103.97
89,frame_acquisition,33.73
89,detection,24.40
89,landmarks,122.29
89,visualization,107.13
90,frame_acquisition,33.08
90,detection,25.96
90,landmarks,113.99
90,visualization,125.88
91,frame_acquisition,33.11
91,detection,25.65
91,landmarks,118.11
91,visualization,97.04
92,frame_acquisition,33.29
92,detection,22.47
92,landmarks,111.58
92,visualization,108.27
93,frame_acquisition,33.11
93,detection,23.80
93,landmarks,129.09
93,visualization,118.86
94,frame_acquisition,33.07
94,detection,22.97
94,landmarks,115.53
94,visualization,104.73
95,frame_acquisition,33.09
95,detection,22.79
95,landmarks,172.48
95,visualization,109.51
96,frame_acquisition,33.16
96,detection,23.57
96,landmarks,116.82
96,visualization,103.03
97,frame_acquisition,33.10
97,detection,23.28
97,landmarks,110.45
97,visualization,112.22
98,frame_acquisition,33.11
98,detection,29.82
98,landmarks,153.07
98,visualization,115.05
99,frame_acquisition,33.14
99,detection,22.42
99,landmarks,111.28
99,visualization,103.53
100,frame_acquisition,33.32
100,detection,24.83
100,landmarks,113.26
100,visualization,96.37
101,frame_acquisition,33.45
101,detection,32.97
101,landmarks,126.18
101,visualization,101.65
102,frame_acquisition,33.10
102,detection,21.83
102,landmarks,112.47
102,visualization,100.70
103,frame_acquisition,33.11
103,detection,24.64
103,landmarks,116.95
103,visualization,101.32
104,frame_acquisition,33.10
104,detection,26.03
104,landmarks,113.70
104,visualization,102.19
105,frame_acquisition,33.41
105,detection,26.96
105,landmarks,124.15
105,visualization,105.58
106,frame_acquisition,33.08
106,detection,26.92
106,landmarks,124.06
106,visualization,103.67
107,frame_acquisition,33.07
107,detection,25.07
107,landmarks,119.89
107,visualization,95.73
108,frame_acquisition,33.27
108,detection,22.64
108,landmarks,116.32
108,visualization,107.39
109,frame_acquisition,33.44
109,detection,23.24
109,landmarks,134.34
109,visualization,101.11
110,frame_acquisition,33.11
110,detection,25.68
110,landmarks,149.28
110,visualization,98.93
111,frame_acquisition,33.43
111,detection,23.90
111,landmarks,111.19
