frame_index,stage,duration_ms
68,queue_frame,33.97
77,frame_acquisition,33.11
68,detection,38.18
69,queue_frame,39.02
78,frame_acquisition,33.10
69,detection,39.34
70,queue_frame,45.23
79,frame_acquisition,33.12
13,visualization,114.50
70,detection,35.61
71,queue_frame,47.73
80,frame_acquisition,33.09
71,detection,28.74
72,queue_frame,43.35
14,landmarks,167.59
14,queue_landmarks,0.11
15,queue_bbox,46.37
81,frame_acquisition,33.09
72,detection,34.61
73,queue_frame,44.76
82,frame_acquisition,33.09
73,detection,35.83
74,queue_frame,47.50
83,frame_acquisition,33.10
74,detection,35.85
75,queue_frame,50.19
84,frame_acquisition,33.15
14,visualization,109.26
75,detection,35.44
76,queue_frame,52.50
85,frame_acquisition,33.11
76,detection,33.63
77,queue_frame,53.01
86,frame_acquisition,33.09
15,landmarks,173.89
15,queue_landmarks,0.10
16,queue_bbox,49.32
77,detection,38.57
78,queue_frame,58.48
87,frame_acquisition,33.08
78,detection,40.65
79,queue_frame,66.06
88,frame_acquisition,33.14
89,frame_acquisition,33.08
79,detection,36.66
80,queue_frame,36.29
15,visualization,123.01
90,frame_acquisition,33.10
80,detection,30.86
81,queue_frame,34.18
81,detection,29.39
82,queue_frame,30.85
91,frame_acquisition,33.11
16,landmarks,167.04
16,queue_landmarks,0.08
17,queue_bbox,35.48
82,detection,31.23
83,queue_frame,29.11
92,frame_acquisition,33.08
93,frame_acquisition,33.11
83,detection,38.10
84,queue_frame,34.10
94,frame_acquisition,33.12
84,detection,35.23
85,queue_frame,36.18
95,frame_acquisition,33.10
85,detection,33.48
86,queue_frame,36.62
16,visualization,136.16
17,landmarks,158.68
17,queue_landmarks,0.05
18,queue_bbox,59.58
96,frame_acquisition,33.11
86,detection,29.91
87,queue_frame,33.39
97,frame_acquisition,33.10
87,detection,34.05
88,queue_frame,34.36
88,detection,30.12
89,queue_frame,31.49
98,frame_acquisition,33.13
99,frame_acquisition,33.09
89,detection,36.98
90,queue_frame,35.47
17,visualization,126.62
100,frame_acquisition,33.19
90,detection,35.70
91,queue_frame,38.16
18,landmarks,158.62
18,queue_landmarks,0.10
19,queue_bbox,53.22
101,frame_acquisition,33.11
91,detection,29.40
92,queue_frame,34.37
102,frame_acquisition,33.11
92,detection,35.45
93,queue_frame,36.75
103,frame_acquisition,33.11
93,detection,37.66
94,queue_frame,41.33
104,frame_acquisition,33.09
94,detection,32.74
95,queue_frame,40.93
18,visualization,120.67
105,frame_acquisition,33.08
95,detection,30.35
96,queue_frame,38.20
19,landmarks,154.02
19,queue_landmarks,0.12
20,queue_bbox,35.73
106,frame_acquisition,33.08
96,detection,33.16
97,queue_frame,38.28
107,frame_acquisition,33.09
97,detection,34.46
98,queue_frame,39.75
108,frame_acquisition,33.14
98,detection,33.36
99,queue_frame,39.98
19,visualization,109.45
109,frame_acquisition,33.08
99,detection,32.74
100,queue_frame,39.61
20,landmarks,150.04
20,queue_landmarks,0.14
21,queue_bbox,54.20
110,frame_acquisition,33.09
100,detection,29.08
101,queue_frame,35.58
111,frame_acquisition,33.12
101,detection,49.45
102,queue_frame,52.00
112,frame_acquisition,33.18
102,detection,35.98
103,queue_frame,54.87
113,frame_acquisition,33.11
20,visualization,126.51
103,detection,35.59
104,queue_frame,57.36
114,frame_acquisition,33.14
104,detection,31.06
105,queue_frame,55.38
21,landmarks,169.95
21,queue_landmarks,0.09
22,queue_bbox,40.81
115,frame_acquisition,33.09
105,detection,34.39
106,queue_frame,56.68
116,frame_acquisition,33.10
106,detection,36.80
107,queue_frame,60.50
117,frame_acquisition,33.08
107,detection,35.13
108,queue_frame,62.61
118,frame_acquisition,33.09
21,visualization,115.37
108,detection,36.29
109,queue_frame,65.92
119,frame_acquisition,33.08
22,landmarks,160.46
22,queue_landmarks,0.11
23,queue_bbox,63.54
120,frame_acquisition,33.12
109,detection,35.99
110,queue_frame,35.80
121,frame_acquisition,33.09
110,detection,43.00
111,queue_frame,45.88
122,frame_acquisition,33.13
111,detection,41.48
112,queue_frame,54.26
123,frame_acquisition,33.09
22,visualization,123.72
112,detection,37.12
113,queue_frame,58.23
124,frame_acquisition,33.09
113,detection,33.89
114,queue_frame,58.94
23,landmarks,172.77
125,frame_acquisition,33.11
23,queue_landmarks,0.11
24,queue_bbox,41.58
114,detection,39.50
115,queue_frame,65.44
126,frame_acquisition,33.13
127,frame_acquisition,33.21
115,detection,42.55
116,queue_frame,41.81
128,frame_acquisition,33.14
116,detection,38.59
117,queue_frame,47.30
23,visualization,127.42
129,frame_acquisition,33.13
117,detection,38.79
118,queue_frame,52.97
130,frame_acquisition,33.09
24,landmarks,183.47
24,queue_landmarks,0.13
25,queue_bbox,70.12
118,detection,40.00
119,queue_frame,59.87
131,frame_acquisition,33.11
119,detection,34.93
120,queue_frame,61.71
132,frame_acquisition,33.10
120,detection,36.42
121,queue_frame,65.04
133,frame_acquisition,33.12
24,visualization,108.32
121,detection,32.89
122,queue_frame,64.81
134,frame_acquisition,33.13
122,detection,33.29
123,queue_frame,65.23
135,frame_acquisition,33.08
25,landmarks,164.36
25,queue_landmarks,0.20
26,queue_bbox,51.31
136,frame_acquisition,33.15
123,detection,41.35
124,queue_frame,40.45
137,frame_acquisition,33.11
124,detection,38.97
125,queue_frame,46.20
138,frame_acquisition,33.13
125,detection,38.05
126,queue_frame,51.17
25,visualization,115.32
139,frame_acquisition,33.10
126,detection,34.89
127,queue_frame,52.96
