frame_index,stage,duration_ms
63,detection,25.02
63,landmarks,111.04
63,visualization,82.20
64,frame_acquisition,33.14
64,detection,23.56
64,landmarks,107.23
64,visualization,81.15
65,frame_acquisition,33.13
65,detection,23.18
65,landmarks,98.53
65,visualization,75.54
66,frame_acquisition,33.07
66,detection,22.99
66,landmarks,95.08
66,visualization,78.01
67,frame_acquisition,33.12
67,detection,24.54
67,landmarks,96.11
67,visualization,77.99
68,frame_acquisition,33.07
68,detection,23.71
68,landmarks,93.39
68,visualization,79.29
69,frame_acquisition,33.11
69,detection,22.44
69,landmarks,98.65
69,visualization,111.67
70,frame_acquisition,33.11
70,detection,24.25
70,landmarks,105.88
70,visualization,79.66
71,frame_acquisition,33.31
71,detection,23.96
71,landmarks,94.36
71,visualization,92.59
72,frame_acquisition,33.10
72,detection,24.51
72,landmarks,96.89
72,visualization,102.79
73,frame_acquisition,33.04
73,detection,21.88
73,landmarks,100.39
73,visualization,88.29
74,frame_acquisition,33.63
74,detection,27.44
74,landmarks,95.95
74,visualization,83.27
75,frame_acquisition,33.14
75,detection,21.45
75,landmarks,96.26
75,visualization,87.29
76,frame_acquisition,33.46
76,detection,24.93
76,landmarks,94.82
76,visualization,82.44
77,frame_acquisition,33.26
77,detection,24.01
77,landmarks,94.53
77,visualization,93.96
78,frame_acquisition,33.08
78,detection,23.74
78,landmarks,93.95
78,visualization,91.59
79,frame_acquisition,33.18
79,detection,24.18
79,landmarks,94.41
79,visualization,86.86
80,frame_acquisition,33.12
80,detection,24.62
80,landmarks,110.84
80,visualization,96.60
81,frame_acquisition,33.11
81,detection,23.37
81,landmarks,93.31
81,visualization,85.35
82,frame_acquisition,33.03
82,detection,23.35
82,landmarks,91.09
82,visualization,74.26
83,frame_acquisition,33.27
83,detection,23.58
83,landmarks,94.54
83,visualization,81.14
84,frame_acquisition,33.08
84,detection,22.81
84,landmarks,98.04
84,visualization,78.53
85,frame_acquisition,33.34
85,detection,21.87
85,landmarks,96.24
85,visualization,82.14
86,frame_acquisition,33.12
86,detection,23.51
86,landmarks,92.45
86,visualization,81.26
87,frame_acquisition,33.14
87,detection,22.92
87,landmarks,107.43
87,visualization,85.64
88,frame_acquisition,33.57
88,detection,24.01
88,landmarks,92.98
88,visualization,82.33
89,frame_acquisition,33.12
89,detection,23.25
89,landmarks,93.00
89,visualization,81.87
90,frame_acquisition,33.07
90,detection,22.86
90,landmarks,98.99
90,visualization,79.68
91,frame_acquisition,33.13
91,detection,24.41
91,landmarks,90.53
91,visualization,76.53
92,frame_acquisition,33.28
92,detection,23.90
92,landmarks,98.34
92,visualization,86.12
93,frame_acquisition,33.15
93,detection,21.77
93,landmarks,94.99
93,visualization,73.26
94,frame_acquisition,33.17
94,detection,21.03
94,landmarks,97.45
94,visualization,87.58
95,frame_acquisition,33.10
95,detection,26.44
95,landmarks,92.55
95,visualization,73.51
96,frame_acquisition,33.12
96,detection,24.46
96,landmarks,103.88
96,visualization,83.66
97,frame_acquisition,33.07
97,detection,25.20
97,landmarks,91.14
97,visualization,81.32
98,frame_acquisition,33.10
98,detection,23.11
98,landmarks,99.44
98,visualization,76.39
99,frame_acquisition,33.34
99,detection,20.83
99,landmarks,95.21
99,visualization,75.73
100,frame_acquisition,33.37
100,detection,22.88
100,landmarks,92.06
100,visualization,79.35
101,frame_acquisition,33.45
101,detection,24.49
101,landmarks,94.79
101,visualization,75.34
102,frame_acquisition,33.42
102,detection,24.25
102,landmarks,94.55
102,visualization,81.11
103,frame_acquisition,33.08
103,detection,30.83
103,landmarks,98.33
103,visualization,86.02
104,frame_acquisition,33.10
104,detection,26.05
104,landmarks,96.78
104,visualization,85.60
105,frame_acquisition,33.10
105,detection,27.40
105,landmarks,96.20
105,visualization,86.12
106,frame_acquisition,33.10
106,detection,24.52
106,landmarks,99.21
106,visualization,83.45
107,frame_acquisition,33.68
107,detection,23.57
107,landmarks,97.36
107,visualization,85.02
108,frame_acquisition,33.11
108,detection,21.13
108,landmarks,92.95
108,visualization,82.05
109,frame_acquisition,33.16
109,detection,23.90
109,landmarks,99.09
109,visualization,81.34
110,frame_acquisition,33.17
110,detection,21.81
110,landmarks,94.98
110,visualization,90.45
111,frame_acquisition,33.40
111,detection,22.15
111,landmarks,93.87
111,visualization,82.09
112,frame_acquisition,33.08
112,detection,34.92
112,landmarks,139.35
112,visualization,104.57
113,frame_acquisition,33.10
113,detection,21.67
113,landmarks,98.19
113,visualization,85.14
114,frame_acquisition,33.11
114,detection,22.96
114,landmarks,101.58
114,visualization,90.09
115,frame_acquisition,33.15
115,detection,21.73
115,landmarks,93.94
115,visualization,76.97
116,frame_acquisition,33.20
116,detection,20.26
116,landmarks,101.12
116,visualization,92.44
117,frame_acquisition,33.36
117,detection,21.20
117,landmarks,99.45
117,visualization,81.74
118,frame_acquisition,33.12
118,detection,21.23
118,landmarks,97.67
118,visualization,88.89
119,frame_acquisition,33.10
119,detection,27.53
119,landmarks,100.93
119,visualization,83.67
120,frame_acquisition,33.41
120,detection,23.71
120,landmarks,107.89
120,visualization,87.34
121,frame_acquisition,33.10
121,detection,25.63
121,landmarks,110.77
121,visualization,85.85
122,frame_acquisition,33.22
122,detection,23.49
122,landmarks,95.46
122,visualization,87.01
123,frame_acquisition,33.10
123,detection,22.37
123,landmarks,93.26
123,visualization,81.62
124,frame_acquisition,33.07
124,detection,21.13
124,landmarks,101.66
124,visualization,87.51
125,frame_acquisition,33.08
125,detection,23.54
125,landmarks,89.01
125,visualization,79.39
126,frame_acquisition,33.10
126,detection,24.08
126,landmarks,93.02
126,visualization,84.74
127,frame_acquisition,33.46
127,detection,22.79
127,landmarks,96.64
127,visualization,77.75
128,frame_acquisition,33.44
128,detection,25.06
128,landmarks,93.03
128,visualization,76.98
129,frame_acquisition,33.10
129,detection,21.99
129,landmarks,92.74
129,visualization,89.47
130,frame_acquisition,33.10
130,detection,26.80
130,landmarks,117.05
130,visualization,85.03
131,frame_acquisition,33.50
131,detection,21.21
131,landmarks,98.19
131,visualization,77.37
132,frame_acquisition,33.24
132,detection,23.12
132,landmarks,94.01
132,visualization,79.48
133,frame_acquisition,33.60
133,detection,25.45
133,landmarks,92.37
133,visualization,78.73
134,frame_acquisition,33.10
134,detection,22.59
134,landmarks,99.09
134,visualization,80.18
135,frame_acquisition,33.12
135,detection,23.99
