frame_index,stage,duration_ms
158,bbox_calculation,68.01
30,landmarks,133.91
30,visualization,104.32
31,data_queue,111.87
159,bbox_calculation,68.55
160,bbox_calculation,64.37
161,bbox_calculation,65.10
162,bbox_calculation,33.81
163,bbox_calculation,33.74
31,landmarks,130.08
31,visualization,100.54
32,data_queue,42.04
164,bbox_calculation,62.00
165,bbox_calculation,33.97
166,bbox_calculation,33.87
167,bbox_calculation,68.17
168,bbox_calculation,34.11
32,landmarks,121.61
32,visualization,104.76
33,data_queue,36.17
169,bbox_calculation,33.79
170,bbox_calculation,64.51
171,bbox_calculation,33.87
172,bbox_calculation,33.84
33,landmarks,131.66
33,visualization,100.62
34,data_queue,101.93
173,bbox_calculation,69.13
174,bbox_calculation,33.84
175,bbox_calculation,33.74
176,bbox_calculation,63.72
177,bbox_calculation,66.99
34,landmarks,125.68
34,visualization,104.21
35,data_queue,97.22
178,bbox_calculation,68.42
179,bbox_calculation,66.74
180,bbox_calculation,65.39
181,bbox_calculation,67.07
35,landmarks,148.35
35,visualization,97.81
36,data_queue,75.69
182,bbox_calculation,65.11
183,bbox_calculation,64.31
184,bbox_calculation,67.24
36,landmarks,140.51
36,visualization,101.40
37,data_queue,121.00
185,bbox_calculation,63.81
186,bbox_calculation,60.90
187,bbox_calculation,65.81
188,bbox_calculation,68.46
37,landmarks,125.07
37,visualization,97.81
38,data_queue,85.61
189,bbox_calculation,69.06
190,bbox_calculation,67.09
191,bbox_calculation,34.06
192,bbox_calculation,33.93
38,landmarks,143.39
38,visualization,98.99
39,data_queue,88.64
193,bbox_calculation,69.02
194,bbox_calculation,34.17
195,bbox_calculation,33.95
196,bbox_calculation,66.31
197,bbox_calculation,68.48
39,landmarks,136.82
39,visualization,100.15
40,data_queue,87.69
198,bbox_calculation,64.18
199,bbox_calculation,63.32
200,bbox_calculation,65.72
40,landmarks,126.83
40,visualization,103.51
41,data_queue,121.97
201,bbox_calculation,69.90
202,bbox_calculation,65.32
203,bbox_calculation,70.71
204,bbox_calculation,33.99
205,bbox_calculation,34.12
41,landmarks,138.88
41,visualization,119.53
42,data_queue,74.74
206,bbox_calculation,75.19
207,bbox_calculation,34.50
208,bbox_calculation,33.91
209,bbox_calculation,69.43
210,bbox_calculation,80.06
42,landmarks,158.21
42,visualization,127.72
43,data_queue,113.01
211,bbox_calculation,71.98
212,bbox_calculation,78.03
213,bbox_calculation,97.19
214,bbox_calculation,80.88
43,landmarks,198.13
43,visualization,157.47
44,data_queue,141.08
215,bbox_calculation,81.73
216,bbox_calculation,89.20
217,bbox_calculation,79.65
218,bbox_calculation,33.99
219,bbox_calculation,35.41
220,bbox_calculation,87.16
44,landmarks,212.11
44,visualization,152.32
45,data_queue,104.05
221,bbox_calculation,34.09
222,bbox_calculation,34.11
223,bbox_calculation,79.88
224,bbox_calculation,33.98
225,bbox_calculation,35.30
226,bbox_calculation,80.06
227,bbox_calculation,34.34
228,bbox_calculation,34.51
45,landmarks,240.65
45,visualization,146.35
46,data_queue,71.16
229,bbox_calculation,79.66
230,bbox_calculation,34.19
231,bbox_calculation,34.17
232,bbox_calculation,68.99
233,bbox_calculation,34.39
234,bbox_calculation,34.32
46,landmarks,176.14
46,visualization,117.34
47,data_queue,78.25
235,bbox_calculation,80.40
236,bbox_calculation,33.94
237,bbox_calculation,34.46
238,bbox_calculation,81.86
239,bbox_calculation,85.23
47,landmarks,181.46
47,visualization,111.82
48,data_queue,105.77
240,bbox_calculation,73.47
241,bbox_calculation,78.60
242,bbox_calculation,83.09
48,landmarks,157.24
48,visualization,136.49
49,data_queue,162.15
243,bbox_calculation,86.10
244,bbox_calculation,78.84
245,bbox_calculation,77.17
246,bbox_calculation,71.85
49,landmarks,198.11
49,visualization,107.00
50,data_queue,141.57
247,bbox_calculation,70.56
248,bbox_calculation,64.54
249,bbox_calculation,68.17
250,bbox_calculation,35.10
251,bbox_calculation,34.70
50,landmarks,142.53
50,visualization,101.79
51,data_queue,74.93
252,bbox_calculation,69.21
253,bbox_calculation,33.79
254,bbox_calculation,33.84
255,bbox_calculation,66.93
256,bbox_calculation,70.98
51,landmarks,146.58
51,visualization,101.25
52,data_queue,83.94
257,bbox_calculation,61.65
258,bbox_calculation,62.27
259,bbox_calculation,67.01
52,landmarks,132.33
52,visualization,100.15
53,data_queue,121.48
260,bbox_calculation,65.76
261,bbox_calculation,60.96
262,bbox_calculation,62.82
263,bbox_calculation,63.79
53,landmarks,130.24
53,visualization,99.85
54,data_queue,94.61
264,bbox_calculation,65.20
265,bbox_calculation,60.34
266,bbox_calculation,65.81
267,bbox_calculation,66.68
54,landmarks,130.40
54,visualization,103.71
55,data_queue,73.39
268,bbox_calculation,60.17
269,bbox_calculation,61.20
270,bbox_calculation,64.41
55,landmarks,125.48
55,visualization,102.93
56,data_queue,113.70
271,bbox_calculation,64.97
272,bbox_calculation,63.84
273,bbox_calculation,70.32
274,bbox_calculation,33.91
56,landmarks,122.56
56,visualization,95.52
275,bbox_calculation,33.99
57,data_queue,68.07
276,bbox_calculation,61.76
277,bbox_calculation,33.96
278,bbox_calculation,33.97
279,bbox_calculation,68.06
57,landmarks,120.11
57,visualization,109.40
58,data_queue,99.83
280,bbox_calculation,34.99
281,bbox_calculation,33.75
282,bbox_calculation,58.55
283,bbox_calculation,71.04
58,landmarks,119.51
58,visualization,104.51
59,data_queue,128.16
284,bbox_calculation,68.36
285,bbox_calculation,60.10
286,bbox_calculation,64.61
287,bbox_calculation,34.32
288,bbox_calculation,34.35
59,landmarks,121.31
59,visualization,100.31
60,data_queue,51.07
289,bbox_calculation,65.10
290,bbox_calculation,34.41
291,bbox_calculation,34.16
292,bbox_calculation,68.52
293,bbox_calculation,34.00
60,landmarks,122.28
60,visualization,103.11
61,data_queue,39.50
294,bbox_calculation,33.75
295,bbox_calculation,60.97
296,bbox_calculation,34.46
297,bbox_calculation,34.32
298,bbox_calculation,68.60
61,landmarks,128.19
61,visualization,99.45
62,data_queue,69.27
299,bbox_calculation,33.91
300,bbox_calculation,33.80
301,bbox_calculation,63.71
302,bbox_calculation,67.55
62,landmarks,125.81
62,visualization,92.36
63,data_queue,87.26
303,bbox_calculation,63.42
304,bbox_calculation,65.34
305,bbox_calculation,65.70
63,landmarks,126.32
63,visualization,91.40
64,data_queue,108.68
306,bbox_calculation,65.67
307,bbox_calculation,66.58
308,bbox_calculation,33.83
309,bbox_calculation,33.88
64,landmarks,121.89
64,visualization,94.55
65,data_queue,93.30
310,bbox_calculation,69.44
311,bbox_calculation,34.24
312,bbox_calculation,33.75
313,bbox_calculation,64.41
314,bbox_calculation,65.69
65,landmarks,125.50
65,visualization,91.74
66,data_queue,74.46
315,bbox_calculation,64.07
316,bbox_calculation,62.97
317,bbox_calculation,67.12
66,landmarks,121.52
66,visualization,99.03
67,data_queue,102.38
318,bbox_calculation,74.14
319,bbox_calculation,60.92
320,bbox_calculation,71.66
67,landmarks,131.36
67,visualization,112.80
68,data_queue,144.32
321,bbox_calculation,75.67
322,bbox_calculation,59.04
