frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
176,257.63,290.88,3.88,3.44
177,260.65,293.93,3.84,3.40
178,239.58,272.80,4.17,3.67
179,247.15,280.40,4.05,3.57
180,245.58,279.07,4.07,3.58
181,250.54,283.76,3.99,3.52
182,249.80,283.02,4.00,3.53
183,233.65,266.86,4.28,3.75
184,275.82,309.01,3.63,3.24
185,246.19,279.41,4.06,3.58
186,254.19,287.42,3.93,3.48
187,230.37,263.67,4.34,3.79
188,251.13,284.39,3.98,3.52
189,244.00,277.17,4.10,3.61
190,244.68,278.01,4.09,3.60
191,249.51,282.87,4.01,3.54
192,247.84,281.36,4.03,3.55
193,264.69,297.93,3.78,3.36
194,255.52,288.74,3.91,3.46
195,261.47,294.65,3.82,3.39
196,243.14,276.37,4.11,3.62
197,255.11,288.35,3.92,3.47
198,242.65,275.89,4.12,3.62
199,254.20,287.75,3.93,3.48
200,285.04,318.24,3.51,3.14
201,245.42,278.63,4.07,3.59
202,263.23,296.38,3.80,3.37
203,242.74,275.95,4.12,3.62
204,244.11,277.48,4.10,3.60
205,265.19,298.62,3.77,3.35
206,258.03,291.59,3.88,3.43
207,256.41,289.57,3.90,3.45
208,246.11,279.66,4.06,3.58
209,264.24,297.38,3.78,3.36
210,248.11,281.38,4.03,3.55
211,262.27,295.49,3.81,3.38
212,242.93,276.12,4.12,3.62
213,254.44,287.80,3.93,3.47
214,250.15,283.36,4.00,3.53
215,255.30,288.57,3.92,3.47
216,258.10,291.62,3.87,3.43
217,273.21,306.39,3.66,3.26
218,249.13,282.68,4.01,3.54
219,253.11,286.31,3.95,3.49
220,262.66,295.89,3.81,3.38
221,277.53,310.72,3.60,3.22
222,314.60,347.79,3.18,2.88
223,354.43,387.66,2.82,2.58
224,273.11,306.30,3.66,3.26
225,267.93,301.14,3.73,3.32
226,265.20,298.43,3.77,3.35
227,250.00,283.19,4.00,3.53
228,266.33,299.58,3.75,3.34
229,248.79,282.02,4.02,3.55
230,247.43,280.60,4.04,3.56
231,241.29,274.77,4.14,3.64
232,253.20,286.49,3.95,3.49
233,276.00,309.20,3.62,3.23
234,241.94,275.41,4.13,3.63
235,284.09,317.34,3.52,3.15
236,236.84,270.00,4.22,3.70
237,254.73,287.87,3.93,3.47
238,245.92,279.29,4.07,3.58
239,244.77,278.00,4.09,3.60
240,249.15,282.33,4.01,3.54
241,254.08,287.29,3.94,3.48
242,247.44,281.01,4.04,3.56
243,243.64,276.95,4.10,3.61
244,255.38,288.66,3.92,3.46
245,242.99,276.31,4.12,3.62
246,253.27,286.79,3.95,3.49
247,297.90,331.07,3.36,3.02
248,290.08,323.25,3.45,3.09
249,261.46,294.78,3.82,3.39
250,250.46,283.68,3.99,3.53
251,256.28,289.43,3.90,3.46
252,248.68,281.94,4.02,3.55
253,253.62,286.81,3.94,3.49
254,245.87,279.37,4.07,3.58
255,260.80,294.06,3.83,3.40
256,242.70,275.99,4.12,3.62
257,267.18,300.46,3.74,3.33
258,296.21,329.40,3.38,3.04
259,265.95,299.11,3.76,3.34
260,272.01,305.21,3.68,3.28
261,269.66,302.91,3.71,3.30
262,316.23,349.41,3.16,2.86
263,266.02,299.18,3.76,3.34
264,293.31,326.50,3.41,3.06
265,254.78,288.00,3.92,3.47
266,260.84,294.16,3.83,3.40
267,255.17,288.65,3.92,3.46
268,254.13,287.37,3.93,3.48
269,256.58,289.73,3.90,3.45
270,246.32,279.71,4.06,3.58
271,252.12,285.38,3.97,3.50
272,310.00,343.29,3.23,2.91
273,325.20,358.69,3.08,2.79
274,316.55,349.77,3.16,2.86
275,281.85,315.05,3.55,3.17
276,270.09,303.34,3.70,3.30
277,278.74,311.94,3.59,3.21
278,266.78,299.98,3.75,3.33
279,316.46,349.72,3.16,2.86
280,269.65,302.84,3.71,3.30
281,301.89,335.08,3.31,2.98
282,266.20,299.40,3.76,3.34
283,255.12,288.31,3.92,3.47
284,246.36,279.52,4.06,3.58
285,256.41,289.57,3.90,3.45
286,251.63,284.91,3.97,3.51
287,255.73,288.94,3.91,3.46
288,266.84,300.08,3.75,3.33
289,246.16,279.68,4.06,3.58
290,261.02,294.20,3.83,3.40
291,265.87,299.08,3.76,3.34
292,260.46,293.64,3.84,3.41
293,269.81,303.13,3.71,3.30
294,247.52,280.75,4.04,3.56
295,250.63,283.83,3.99,3.52
296,234.02,267.41,4.27,3.74
297,291.11,324.36,3.44,3.08
298,248.78,282.03,4.02,3.55
299,240.33,273.53,4.16,3.66
300,249.74,282.99,4.00,3.53
301,240.62,273.87,4.16,3.65
302,239.09,272.47,4.18,3.67
303,309.61,342.82,3.23,2.92
304,254.88,288.26,3.92,3.47
305,241.48,274.66,4.14,3.64
306,250.18,283.41,4.00,3.53
307,245.98,279.18,4.07,3.58
308,245.85,279.12,4.07,3.58
309,257.19,290.50,3.89,3.44
310,253.98,287.14,3.94,3.48
311,254.11,287.30,3.94,3.48
312,254.52,287.73,3.93,3.48
313,257.51,290.73,3.88,3.44
314,251.56,284.81,3.98,3.51
315,247.65,280.90,4.04,3.56
316,246.77,279.92,4.05,3.57
317,262.55,295.85,3.81,3.38
318,254.20,287.48,3.93,3.48
319,260.81,294.29,3.83,3.40
320,250.04,283.59,4.00,3.53
321,252.65,285.91,3.96,3.50
322,249.03,282.24,4.02,3.54
323,305.59,338.84,3.27,2.95
324,372.95,406.15,2.68,2.46
325,284.71,318.01,3.51,3.14
326,298.42,331.56,3.35,3.02
327,273.56,306.80,3.66,3.26
328,271.04,304.23,3.69,3.29
329,262.73,295.97,3.81,3.38
330,258.65,291.82,3.87,3.43
331,253.78,286.95,3.94,3.48
332,280.40,313.57,3.57,3.19
333,253.80,287.00,3.94,3.48
334,294.93,328.14,3.39,3.05
335,279.56,312.75,3.58,3.20
336,250.07,283.27,4.00,3.53
337,289.89,323.09,3.45,3.10
338,237.95,271.40,4.20,3.68
339,258.62,291.93,3.87,3.43
340,254.55,288.00,3.93,3.47
341,244.02,277.58,4.10,3.60
342,254.26,287.46,3.93,3.48
343,239.92,273.43,4.17,3.66
344,256.70,289.86,3.90,3.45
345,249.52,282.74,4.01,3.54
346,244.11,277.45,4.10,3.60
347,270.59,303.79,3.70,3.29
348,254.13,287.37,3.94,3.48
349,257.67,290.91,3.88,3.44
350,233.33,267.00,4.29,3.75
351,292.82,326.05,3.42,3.07
352,238.74,272.18,4.19,3.67
353,263.95,297.17,3.79,3.37
354,244.49,278.05,4.09,3.60
355,284.73,317.98,3.51,3.14
356,246.82,280.01,4.05,3.57
357,232.34,265.49,4.30,3.77
358,262.86,296.12,3.80,3.38
359,244.21,277.39,4.09,3.61
360,247.57,280.87,4.04,3.56
361,246.33,279.54,4.06,3.58
362,241.40,274.54,4.14,3.64
363,241.25,274.70,4.15,3.64
364,244.74,278.37,4.09,3.59
365,309.11,342.38,3.24,2.92
366,257.28,290.47,3.89,3.44
367,275.14,308.31,3.63,3.24
368,273.13,306.28,3.66,3.26
369,286.20,319.38,3.49,3.13
370,265.81,298.96,3.76,3.34
