frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
176,266.01,299.17,3.76,3.34
177,257.05,290.35,3.89,3.44
178,248.20,281.43,4.03,3.55
179,247.65,281.06,4.04,3.56
180,248.76,281.93,4.02,3.55
181,248.66,281.91,4.02,3.55
182,250.52,283.69,3.99,3.53
183,247.94,281.21,4.03,3.56
184,260.73,293.99,3.84,3.40
185,248.70,281.95,4.02,3.55
186,253.76,287.02,3.94,3.48
187,263.53,296.69,3.79,3.37
188,248.29,281.48,4.03,3.55
189,255.97,289.18,3.91,3.46
190,257.58,290.86,3.88,3.44
191,285.83,319.02,3.50,3.13
192,278.49,311.65,3.59,3.21
193,281.81,315.05,3.55,3.17
194,286.13,319.42,3.49,3.13
195,289.23,322.45,3.46,3.10
196,299.36,332.64,3.34,3.01
197,295.10,328.27,3.39,3.05
198,304.13,337.39,3.29,2.96
199,292.09,325.46,3.42,3.07
200,304.61,337.83,3.28,2.96
201,294.00,327.25,3.40,3.06
202,349.09,382.30,2.86,2.62
203,341.22,374.40,2.93,2.67
204,286.78,319.98,3.49,3.13
205,297.85,331.03,3.36,3.02
206,263.11,296.34,3.80,3.37
207,276.53,309.73,3.62,3.23
208,294.36,327.56,3.40,3.05
209,258.72,291.88,3.87,3.43
210,300.54,333.79,3.33,3.00
211,276.04,309.29,3.62,3.23
212,278.97,312.16,3.58,3.20
213,298.59,331.74,3.35,3.01
214,310.30,343.50,3.22,2.91
215,328.27,361.45,3.05,2.77
216,258.79,292.10,3.86,3.42
217,264.48,297.62,3.78,3.36
218,263.86,297.03,3.79,3.37
219,258.93,292.12,3.86,3.42
220,316.77,350.01,3.16,2.86
221,351.14,384.31,2.85,2.60
222,343.30,376.48,2.91,2.66
223,326.92,360.10,3.06,2.78
224,300.73,333.96,3.33,2.99
225,317.77,350.96,3.15,2.85
226,312.98,346.22,3.20,2.89
227,309.03,342.21,3.24,2.92
228,349.29,382.43,2.86,2.61
229,327.18,360.37,3.06,2.77
230,336.78,370.00,2.97,2.70
231,276.79,310.01,3.61,3.23
232,298.49,331.73,3.35,3.01
233,292.95,326.12,3.41,3.07
234,275.33,308.48,3.63,3.24
235,268.06,301.46,3.73,3.32
236,245.08,278.57,4.08,3.59
237,267.59,300.80,3.74,3.32
238,331.47,364.73,3.02,2.74
239,318.08,351.39,3.14,2.85
240,360.50,393.98,2.77,2.54
241,306.55,339.74,3.26,2.94
242,285.18,318.45,3.51,3.14
243,323.08,356.25,3.10,2.81
244,264.47,297.61,3.78,3.36
245,314.38,347.58,3.18,2.88
246,434.66,467.85,2.30,2.14
247,345.54,378.76,2.89,2.64
248,331.37,364.61,3.02,2.74
249,324.58,357.74,3.08,2.80
250,300.19,333.34,3.33,3.00
251,311.10,344.28,3.21,2.90
252,316.59,349.81,3.16,2.86
253,291.98,325.13,3.42,3.08
254,307.87,341.10,3.25,2.93
255,271.07,304.27,3.69,3.29
256,274.47,307.66,3.64,3.25
257,295.74,328.94,3.38,3.04
258,312.74,345.89,3.20,2.89
259,313.21,346.37,3.19,2.89
260,248.81,281.97,4.02,3.55
261,293.63,326.87,3.41,3.06
262,313.67,346.86,3.19,2.88
263,246.87,280.05,4.05,3.57
264,279.61,312.80,3.58,3.20
265,252.02,285.31,3.97,3.50
266,266.83,300.25,3.75,3.33
267,239.95,273.11,4.17,3.66
268,233.75,266.90,4.28,3.75
269,289.27,322.46,3.46,3.10
270,305.64,338.84,3.27,2.95
271,311.90,345.12,3.21,2.90
272,268.94,302.09,3.72,3.31
273,311.00,344.18,3.22,2.91
274,311.77,345.00,3.21,2.90
275,267.73,300.88,3.74,3.32
276,269.33,302.55,3.71,3.31
277,243.97,277.15,4.10,3.61
278,265.93,299.21,3.76,3.34
279,262.40,295.71,3.81,3.38
280,241.79,275.03,4.14,3.64
281,280.00,313.33,3.57,3.19
282,299.16,332.41,3.34,3.01
283,282.43,315.61,3.54,3.17
284,349.33,382.56,2.86,2.61
285,350.42,383.68,2.85,2.61
286,327.61,360.80,3.05,2.77
287,281.10,314.54,3.56,3.18
288,300.58,333.84,3.33,3.00
289,287.70,320.90,3.48,3.12
290,271.04,304.56,3.69,3.28
291,381.38,414.77,2.62,2.41
292,340.21,373.40,2.94,2.68
293,404.66,437.89,2.47,2.28
294,373.22,406.38,2.68,2.46
295,287.43,320.65,3.48,3.12
296,300.80,333.97,3.32,2.99
297,281.94,315.11,3.55,3.17
298,285.06,318.27,3.51,3.14
299,291.62,324.83,3.43,3.08
300,319.43,352.56,3.13,2.84
301,370.78,404.03,2.70,2.48
302,408.40,441.62,2.45,2.26
303,283.96,317.15,3.52,3.15
304,288.57,321.75,3.47,3.11
305,272.77,305.97,3.67,3.27
306,278.70,311.87,3.59,3.21
307,304.99,338.16,3.28,2.96
308,331.30,364.61,3.02,2.74
309,298.42,331.57,3.35,3.02
310,325.92,359.11,3.07,2.78
311,329.67,362.85,3.03,2.76
312,296.17,329.36,3.38,3.04
313,304.62,337.77,3.28,2.96
314,291.39,324.60,3.43,3.08
315,327.76,361.00,3.05,2.77
316,301.13,334.29,3.32,2.99
317,313.73,346.88,3.19,2.88
318,307.93,341.11,3.25,2.93
319,287.66,320.83,3.48,3.12
320,311.70,344.92,3.21,2.90
321,270.30,303.46,3.70,3.30
322,284.59,317.79,3.51,3.15
323,245.60,278.78,4.07,3.59
324,243.11,276.30,4.11,3.62
325,243.02,276.17,4.11,3.62
326,258.20,291.37,3.87,3.43
327,247.33,280.51,4.04,3.56
328,299.31,332.53,3.34,3.01
329,290.69,323.84,3.44,3.09
330,218.53,251.70,4.58,3.97
331,218.24,251.40,4.58,3.98
332,249.24,282.49,4.01,3.54
333,253.28,286.46,3.95,3.49
334,226.79,260.01,4.41,3.85
335,225.15,258.31,4.44,3.87
336,223.60,256.78,4.47,3.89
337,236.36,269.49,4.23,3.71
338,217.09,250.52,4.61,3.99
339,222.90,256.14,4.49,3.90
340,265.64,298.84,3.76,3.35
341,238.68,272.07,4.19,3.68
342,233.27,266.53,4.29,3.75
343,217.31,250.52,4.60,3.99
344,220.26,253.44,4.54,3.95
345,221.37,254.88,4.52,3.92
346,218.92,252.10,4.57,3.97
347,221.34,254.59,4.52,3.93
348,239.61,273.01,4.17,3.66
349,231.68,264.82,4.32,3.78
350,217.63,250.83,4.60,3.99
351,210.30,243.55,4.76,4.11
352,221.74,254.97,4.51,3.92
353,228.66,262.17,4.37,3.81
354,224.60,257.97,4.45,3.88
355,220.92,254.44,4.53,3.93
356,225.82,259.06,4.43,3.86
357,232.27,265.52,4.31,3.77
358,280.33,313.83,3.57,3.19
359,220.00,253.55,4.55,3.94
360,220.85,253.98,4.53,3.94
361,227.64,260.79,4.39,3.83
362,217.56,250.77,4.60,3.99
363,227.28,260.57,4.40,3.84
364,222.00,255.22,4.50,3.92
365,215.22,248.45,4.65,4.02
366,212.13,245.33,4.71,4.08
367,219.41,252.64,4.56,3.96
